title,manufacturer,report_date,year_folder,page_url,slug,local_path
"Waymo December 20, 2019 (PDF)",Waymo,2019-12-20,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-december-20-2019-pdf/,waymo-collision-report-december-20-2019-pdf,reports/2019/waymo-collision-report-december-20-2019-pdf.pdf
"Cruise December 27, 2019 (PDF)",Cruise,2019-12-27,2019,https://www.dmv.ca.gov/portal/file/cruise-collision-report-december-27-2019-pdf/,cruise-collision-report-december-27-2019-pdf,reports/2019/cruise-collision-report-december-27-2019-pdf.pdf
"Cruise January 2, 2020 (PDF)",Cruise,2020-01-02,2020,https://www.dmv.ca.gov/portal/file/cruise-collision-report-january-2-2020-pdf/,cruise-collision-report-january-2-2020-pdf,reports/2020/cruise-collision-report-january-2-2020-pdf.pdf
"Waymo January 7, 2020 (PDF)",Waymo,2020-01-07,2020,https://www.dmv.ca.gov/portal/file/waymo-collision-report-january-7-2020-pdf/,waymo-collision-report-january-7-2020-pdf,reports/2020/waymo-collision-report-january-7-2020-pdf.pdf
"Zoox January 8, 2020 (PDF)",Zoox,2020-01-08,2020,https://www.dmv.ca.gov/portal/file/collision-report-zoox-january-8-2020-pdf/,collision-report-zoox-january-8-2020-pdf,reports/2020/collision-report-zoox-january-8-2020-pdf.pdf
"Cruise January 12, 2020 (PDF)",Cruise,2020-01-12,2020,https://www.dmv.ca.gov/portal/file/cruise-collision-report-january-12-2020-pdf/,cruise-collision-report-january-12-2020-pdf,reports/2020/cruise-collision-report-january-12-2020-pdf.pdf
"Zoox January 13, 2020 (PDF)",Zoox,2020-01-13,2020,https://www.dmv.ca.gov/portal/file/collision-report-zoox-january-13-2020-pdf/,collision-report-zoox-january-13-2020-pdf,reports/2020/collision-report-zoox-january-13-2020-pdf.pdf
"Aurora Innovation January 14, 2020 (PDF)",Aurora Innovation,2020-01-14,2020,https://www.dmv.ca.gov/portal/file/aurora-innovation-collision-report-january-14-2020-pdf/,aurora-innovation-collision-report-january-14-2020-pdf,reports/2020/aurora-innovation-collision-report-january-14-2020-pdf.pdf
"Zoox January 14, 2020 (PDF)",Zoox,2020-01-14,2020,https://www.dmv.ca.gov/portal/file/collision-report-zoox-january-14-2020-pdf/,collision-report-zoox-january-14-2020-pdf,reports/2020/collision-report-zoox-january-14-2020-pdf.pdf
"Zoox January 21, 2020 (2) (PDF)",Zoox,2020-01-21,2020,https://www.dmv.ca.gov/portal/file/collision-report-zoox-january-21-2020-2-pdf/,collision-report-zoox-january-21-2020-2-pdf,reports/2020/collision-report-zoox-january-21-2020-2-pdf.pdf
"Zoox January 21, 2020 (PDF)",Zoox,2020-01-21,2020,https://www.dmv.ca.gov/portal/file/collision-report-zoox-january-21-2020-pdf/,collision-report-zoox-january-21-2020-pdf,reports/2020/collision-report-zoox-january-21-2020-pdf.pdf
"Cruise January 25, 2020 (PDF)",Cruise,2020-01-25,2020,https://www.dmv.ca.gov/portal/file/cruise-collision-report-january-25-2020-pdf/,cruise-collision-report-january-25-2020-pdf,reports/2020/cruise-collision-report-january-25-2020-pdf.pdf
"Waymo January 28, 2020 (PDF)",Waymo,2020-01-28,2020,https://www.dmv.ca.gov/portal/file/waymo-collision-report-january-28-2020-pdf/,waymo-collision-report-january-28-2020-pdf,reports/2020/waymo-collision-report-january-28-2020-pdf.pdf
"Cruise January 29, 2020 (PDF)",Cruise,2020-01-29,2020,https://www.dmv.ca.gov/portal/file/cruise-collision-report-january-29-2020-pdf/,cruise-collision-report-january-29-2020-pdf,reports/2020/cruise-collision-report-january-29-2020-pdf.pdf
"Cruise January 31, 2020 (PDF)",Cruise,2020-01-31,2020,https://www.dmv.ca.gov/portal/file/cruise-collision-report-january-31-2020-pdf/,cruise-collision-report-january-31-2020-pdf,reports/2020/cruise-collision-report-january-31-2020-pdf.pdf
"Cruise February 5, 2020 (PDF)",Cruise,2020-02-05,2020,https://www.dmv.ca.gov/portal/file/cruise-collision-report-february-5-2020-pdf/,cruise-collision-report-february-5-2020-pdf,reports/2020/cruise-collision-report-february-5-2020-pdf.pdf
"Cruise February 9, 2020 (PDF)",Cruise,2020-02-09,2020,https://www.dmv.ca.gov/portal/file/cruise-collision-report-february-9-2020-pdf/,cruise-collision-report-february-9-2020-pdf,reports/2020/cruise-collision-report-february-9-2020-pdf.pdf
